Anketin Tarihi,Anket Şirketi,Örneklem,AKP,CHP,BBP,YRP,MHP,IYI,DEVA,GP,SP,DP,YSP,TIP,ZP,MP,TDP,BTP,Diger
15/03/2022,Opti03,2000,"36,5","26,7","0,1","0,7","10,2","10,9","1,3","0,5","0,7",0,"9,3",0,0,"0,8","1,1",0,"0,9"
10/2/2022,ASAL,1502,"32,9","26,4","0,1","0,9","8,1",12,"2,5","1,3","1,4",0,11,0,0,"1,1",1,0,"1,9"
10/2/2022,Yön09em,2000,"32,9","31,8","0,1","1,5","4,8","12,8","2,3","0,7","0,7",0,"8,5",0,0,"0,6",0,0,"2,2"
7/2/2022,İEA,1500,33,"28,4","0,1",0,"8,4","13,3","2,1","0,8","0,5",0,"12,2",0,0,0,0,0,1
15/01/2022,ALF,2000,"30,9","24,8","0,1",0,"8,8","13,5",0,0,0,0,"11,8",0,0,0,0,0,0
15/01/2022,BUPAR,2000,"30,5","27,9","0,1",0,7,"15,5","2,5",1,"1,5",0,10,0,0,0,0,0,1
31/01/2022,Avrasya,1860,"26,3","28,4","0,1",0,6,"12,4","5,9","1,8","1,7",0,"8,4","0,9",0,"1,1",0,"0,8","2,7"
15/01/2022,Artıbir,2000,"31,2","26,8","0,1",0,"7,1","14,2","3,9","1,7","1,6",0,"9,2",0,0,0,0,0,"1,6"
15/01/2022,Gezici,2000,"31,3","27,2","0,1",1,"8,1","12,1","2,1","1,4","1,2",0,"11,5","0,2","1,1","1,3","0,2",0,"2,6"
29/01/2022,Area,2102,32,"27,1","0,1",0,"8,2","15,4","3,3",0,0,0,"11,5",0,0,0,0,0,"3,8"
15/01/2022,MetroPOLL,1508,"35,1","28,2","0,1",0,"5,8",13,"2,5",0,0,0,"11,5",0,0,0,0,0,"4,3"
15/01/2022,Aksoy,1067,"30,1","28,9","0,1",0,"7,9","13,6","2,7","1,3",1,0,"11,5",0,0,0,0,0,"3,9"
22/01/2022,ORC,5420,"29,7","24,3","0,1","1,1","9,1","14,2","2,8","3,6","1,7",0,"11,5","0,2",0,"1,2","1,5","0,8","1,6"
17/01/2022,MAK,5750,"31,9","24,4","0,1","0,7","7,2","15,1","3,4","2,6","1,3",0,"11,5",0,0,"0,5","0,3","0,8","2,5"
14/01/2022,Avrasya,1260,"30,6","28,6","0,1",0,"5,8","11,3","5,6","1,5","1,1",0,"11,5","0,9",0,"0,9",0,"0,8","2,8"
13/01/2022,İEA,2000,"25,7","15,2","0,1",0,"2,7","9,6","1,6","1,1",0,0,"11,5","2,7",0,"0,7","0,5",0,0
15/01/2022,Themis,1279,"32,9","23,1","0,1",0,"6,8","11,6","3,1","2,6","1,9",0,"11,5",0,"2,4","1,9",0,0,"2,1"
15/01/2022,TEAM,1594,"38,2","26,4","0,1",0,"7,6",12,0,0,0,0,"11,5",0,0,0,0,0,"4,1"
9/1/2022,ASAL,1725,"36,7","23,8","0,1","0,8","8,9","11,9","1,5",1,"1,1",0,"11,5",0,0,"1,2","1,1",0,2
8/1/2022,ORC,7100,"30,2","24,2","0,1","0,8","8,5","15,3","2,9","3,1","1,6",0,"11,5",0,0,"1,3","1,4","0,7",1
7/1/2022,Yön09em,2000,"32,3","31,5","0,1","1,7","6,1","12,6","1,9","0,3","1,2",0,"11,5",0,0,0,0,0,"3,2"
1/2/2022,Sosyo Politik,1876,"32,8","27,8","0,1",0,"7,6","12,5","3,5","2,5","0,8",0,"11,5",0,0,0,0,0,"0,8"
27/12/2021,ORC,3675,"30,8","25,1","0,1",0,"8,6","15,5",3,"3,2","1,5",0,"8,3",0,0,"1,2",0,0,"1,5"
27/12/2021,Avrasya,2460,29,"28,1","0,1",0,"6,8","12,5","6,1",2,"1,6",0,"11,5",0,0,0,"1,3",0,"1,1"
27/12/2021,MAK,2850,"32,7","23,3","0,1","0,7","7,4","14,7","3,3","2,8","1,4",0,"9,1",0,0,"0,7",0,0,0
27/12/2021,Area,2000,"30,5","27,2","0,1",0,9,"15,8",4,0,0,0,10,0,0,0,"0,6","0,4","2,5"
15/12/2021,Avrasya,1260,"28,4","29,4","0,1",0,"6,8","12,6","5,8","2,4","1,4",0,11,0,0,0,0,0,"2,2"
15/12/2021,MetroPOLL,1514,"32,3","27,4","0,1",0,"5,3","14,2","2,6","1,1","1,5",0,"11,9",0,0,"1,6",0,0,"2,3"
10/12/2021,ASAL,1500,"35,9","23,1","0,1","0,8","8,6","12,7","1,8","1,1","0,9",0,"10,4",0,0,"1,5","1,2",0,2
9/12/2021,ORC,3920,"30,3","25,5","0,1","0,5","8,8","15,9","3,3",3,"1,4",0,"8,1",0,0,1,"1,2",0,1
15/12/2021,Aksoy,1067,"30,8","28,9","0,1",0,"8,4","13,8","2,5","1,1","1,2",0,"9,8",0,0,0,0,0,"3,62"
4/12/2021,Yön09em,2002,"30,6","32,2","0,1",0,"6,5","13,3","1,9","0,4","1,1",0,"9,8",0,0,"0,5",0,0,"3,7"
12/3/2021,Avrasya,1260,"27,6","30,4","0,1",0,"6,5","12,9",6,"2,6","1,3",0,11,0,0,0,0,0,"1,7"
15/11/2021,MetroPOLL,1514,"34,3","22,6","0,1",0,"6,6","14,9","2,9",0,"1,5",0,"12,8",0,0,2,0,0,"2,5"
15/11/2021,TEAM,2686,"34,6","28,2","0,1",0,"9,3",12,"1,6","0,9",0,0,"11,1",0,0,0,0,0,"2,3"
30/11/2021,Area,1514,30,"28,2","0,1",0,"9,1",14,"4,4",0,0,0,10,0,0,0,0,0,"4,4"
18/11/2021,MAK,5750,"31,4","24,5","0,1","0,9",8,"14,9","2,6","2,6","1,4",0,"9,6",0,0,"0,8","0,4",0,"2,9"
15/11/2021,Opti03,2000,"37,5","25,3","0,1",0,10,"10,2","1,3",0,0,0,"10,1",0,0,0,0,0,0
15/11/2021,ORC,2000,"30,9","25,7","0,1",0,"9,1","15,5","3,7","2,5","1,3",0,"8,4",0,0,0,0,0,"2,9"
17/11/2021,Avrasya,1260,"28,4","30,1","0,1",0,"7,3","11,9","5,9","2,6","1,2",0,"10,3",0,0,"0,5",0,0,"1,7"
14/11/2021,ASAL,1712,"37,6","25,1","0,1",0,"9,3","10,7",0,0,0,0,"9,1",0,0,0,0,0,"8,2"
6/11/2021,İEA,1510,"29,9","26,6","0,1",0,"7,5","16,7","2,4","1,2","1,1",0,"12,7",0,0,0,0,0,"2,4"
11/3/2021,Yön09em,2000,"31,8","30,3","0,1","1,1","6,4","13,1","1,2","0,7","0,8",0,"10,6",0,0,0,0,0,4
15/10/2021,Piar,2520,"30,6","26,6","0,1",0,"8,7","12,4",6,0,"1,3",0,"11,5",0,0,0,0,0,"2,9"
15/10/2021,MetroPOLL,1568,"32,6","25,2","0,1",0,"7,4","14,3","2,7",0,"1,7",0,"11,8",0,0,"1,6",0,0,"2,9"
15/10/2021,Area,1580,"34,7","27,7","0,1",0,"8,8","12,7","3,1",0,0,0,"8,7",0,0,0,0,0,"4,2"
15/10/2021,Artıbir,2000,"30,1","26,9","0,1",0,"7,2","15,4","3,7","1,9","1,4",0,"11,3",0,0,0,0,0,"2,1"
28/10/2021,Avrasya,2460,"28,6","28,5","0,1",0,7,"13,2","5,7",3,"1,3",0,10,0,0,"0,5",0,0,"2,7"
27/10/2021,ORC,2850,"31,3",26,"0,1",0,"9,8","14,1","5,1","2,4","1,1",0,8,0,0,0,0,0,"2,2"
15/10/2021,ASAL,2000,"36,8","22,7","0,1","0,7","10,1","11,5","1,5","1,2","0,8",0,"10,7",0,0,"1,7",0,0,"2,3"
15/10/2021,Bulgu,1808,"32,4","27,9","0,1","1,6","8,4","13,8","2,8","1,4","1,4",0,"8,3",0,0,"0,5",0,0,"1,5"
21/10/2021,MAK,2000,32,"23,5","0,1",0,8,"14,7","2,7","2,6","1,4",0,9,0,0,1,0,0,"5,1"
15/10/2021,İEA,1500,"32,7","24,3","0,1",0,"7,4","16,4","2,6","1,7","1,1",0,"12,5",0,0,0,0,0,"1,4"
15/10/2021,Areda Survey,2000,"38,5","25,3","0,1",0,"9,9","12,1","1,7","1,1",0,0,"9,2",0,0,0,0,0,"2,2"
14/10/2021,Avrasya,2000,"28,9","28,7","0,1",0,"6,6","13,5","5,5","2,7","1,3",0,"10,6",0,0,0,0,0,"2,2"
5/10/2021,ORC,2000,"31,9","25,9","0,1",0,"9,4","13,1","4,7","2,9",0,0,"8,1",0,0,0,0,0,4
15/09/2021,MetroPOLL,1638,"31,7","25,8","0,1",0,10,"14,3","2,6","1,7",0,0,11,0,0,0,0,0,3
15/09/2021,Aksoy,2000,"30,8","28,2","0,1",0,"8,6","13,8","2,9","1,1","0,6",0,10,0,0,0,0,0,4
27/09/2021,Opti03,1938,39,24,"0,1","0,8","10,9","9,9","0,7","0,4","0,6",0,"9,1",0,0,"2,1","1,6",0,"0,9"
15/09/2021,KONDA,2000,"32,7","24,8","0,1",0,"8,9","19,3",0,0,0,0,"11,7",0,0,0,0,0,"2,6"
15/09/2021,Sosyo Politik,2000,"32,3","30,9","0,1",0,"7,8","12,1","1,8","1,1","0,8",0,"11,3",0,0,0,0,0,"1,9"
15/09/2021,Avrasya,1480,"28,2","27,3","0,1",0,"7,1","13,9","5,3","2,5","1,2",0,"10,3",0,0,1,0,0,"1,1"
15/09/2021,GRIStatistics,1050,31,"24,5","0,1",0,7,"16,3","4,2","2,4","0,9",0,"9,3",0,0,"0,9",0,0,"3,4"
15/09/2021,MAK,5700,33.8,"23,8","0,1","0,9","7,7","14,6","2,8","2,8","1,3",0,"7,9",0,0,"0,9","0,4",0,"1,7"
15/09/2021,Piar,2405,"33,2","23,7","0,1",0,"9,4","14,1","4,4",0,"1,1",0,"10,9",0,0,0,0,0,"3,2"
15/09/2021,İEA,2000,"29,9","25,7","0,1",0,"9,4","15,3","2,7","1,9","1,1",0,"11,7",0,0,0,0,0,"2,2"
5/9/2021,ORC,4180,"32,1","25,3","0,1",0,"9,7","12,7","4,5","2,5","1,2",0,"7,9",0,0,"1,6","0,8",0,"1,7"
15/08/2021,Yön09em,2000,"31,5","27,1","0,1",0,"8,2","14,7","1,7","0,6","1,1",0,"10,3",0,0,"0,6",0,0,"3,6"
29/08/2021,GRIStatistics,2000,"32,1","26,5","0,1",0.4,"7,3","15,6","3,8",1,"0,8",0,10,0,0,"1,3",0,0,"1,2"
23/08/2021,MetroPOLL,1717,"32,2","23,5","0,1",0,"11,3","14,6","0,9",0,"1,5",0,"12,4",0,0,"1,2",0,0,"2,4"
15/08/2021,Avrasya,2460,"28,3","26,6","0,1",0,"7,1","14,1","5,8","2,7","1,3",0,"9,6",0,0,"1,3",0,0,"3,2"
15/08/2021,Area,2000,"33,4","24,9","0,1",0,"9,1","15,4",0,0,0,0,"10,9",0,0,0,0,0,"6,4"
14/08/2021,MAK,5700,"33,9","22,7","0,1",0,"7,7","14,7","2,7","2,9","1,5",0,"8,4",0,0,0,0,0,"2,9"
15/08/2021,Avrasya,2000,"30,3","28,3","0,1",0,"7,2","13,9","4,5",2,"1,5",0,"9,9",0,0,0,0,0,"2,4"
15/08/2021,İEA,2000,"32,4","23,2","0,1",0,"7,5","16,8","2,3",1,"0,9",0,"11,4",0,0,0,0,0,"1,4"
8/3/2021,Aksoy,1067,"30,6","28,7","0,1",0,8,"13,3","2,6","1,7","0,8",0,"9,3",0,0,0,0,0,"4,8"
30/07/2021,Yön09em,3040,"34,6","28,4","0,1",0,"6,9","14,3","1,4","0,4","0,8",0,"9,2",0,0,"0,4",0,0,"3,6"
30/07/2021,Aksoy,2000,"32,2","27,7","0,1",0,"8,1","13,9","2,8","1,2","1,3",0,10,0,0,0,0,0,"2,8"
30/07/2021,Avrasya,2460,"29,4","25,9","0,1",0,"7,4","14,4","4,6","2,3","1,3",0,11,0,0,"1,1",0,0,"2,6"
30/07/2021,MetroPOLL,2000,"37,1","24,1","0,1",0,"9,2","12,9","1,1",0,"1,5",0,"12,3",0,0,0,0,0,"1,8"
15/07/2021,Area,2000,"35,2","23,7","0,1",0,10,"14,4","3,2",0,0,0,"10,1",0,0,0,0,0,"3,3"
15/07/2021,ORC,4520,"33,4",25,"0,1","0,8","9,8","12,5","2,2","2,9","1,3",0,8,0,0,"1,5",1,0,"1,6"
15/07/2021,Opti03,1726,"40,5",24,"0,1","0,3","10,6","9,9",0,0,0,0,"8,6",0,0,0,1,0,0
15/07/2021,İEA,2000,"35,5","23,2","0,1",0,"7,5","16,8","2,3",1,"0,9",0,"11,4",0,0,0,0,0,"1,4"
15/06/2021,Yöneylem,3848,"35,4",27,"0,1",0,"8,5","12,9","1,4","0,4",1,0,"10,4",0,0,0,0,0,3
15/06/2021,MetroPOLL,1740,"38,4","24,3","0,1",0,"6,8","13,5","1,6","0,9",2,0,"10,6",0,0,0,0,0,"1,9"
15/06/2021,Artıbir,1500,"31,4","27,5","0,1",0,"7,4","14,1",3,"1,9",1,0,"12,7",0,0,"0,2","0,1",0,"0,3"
15/06/2021,Avrasya,2000,"29,4","26,9","0,1","0,1","7,1",15,"4,5",2,"1,4",0,"11,1",0,0,"0,8","0,6",0,"1,1"
15/06/2021,Sosyo Politik,1008,"32,1","29,6","0,1",0,"7,1","13,8","3,2","1,3","0,2",0,"12,7",0,0,0,0,0,0
15/06/2021,MAK,2850,"34,3",23,"0,1",0,"8,4","13,6","2,2","2,8","1,8",0,"9,2",0,0,0,0,0,"3,6"
